idx,src,dst,time,dst_idx,ext_roll
724,23,120,17,124,0
725,24,121,17,140,0
726,25,122,17,138,0
727,26,123,17,136,0
728,27,124,17,158,0
729,28,125,17,170,0
730,29,126,17,171,0
731,30,127,17,182,0
732,45,143,17,180,0
733,31,128,17,178,0
734,32,129,17,191,0
735,33,130,17,194,0
736,52,152,17,192,0
737,34,131,17,198,0
738,35,133,17,209,0
739,46,144,17,206,0
740,70,134,17,212,0
741,37,135,17,27,0
742,37,145,17,32,0
743,0,97,18,5,0
744,38,136,18,8,0
745,2,99,18,15,0
746,3,100,18,24,0
747,4,101,18,30,0
748,54,154,18,29,0
749,6,103,18,38,0
750,7,147,18,31,0
751,7,104,18,36,0
752,8,105,18,39,0
753,9,106,18,43,0
754,10,107,18,46,0
755,11,108,18,48,0
756,48,148,18,59,0
757,40,138,18,65,0
758,13,110,18,69,0
759,14,111,18,71,0
760,15,112,18,70,0
761,16,113,18,83,0
762,17,114,18,89,0
763,59,155,18,90,0
764,18,115,18,88,0
765,41,139,18,101,0
766,19,116,18,99,0
767,20,117,18,119,0
768,21,118,18,125,0
769,61,159,18,128,0
770,22,119,18,131,0
771,24,121,18,140,0
772,25,122,18,138,0
773,26,123,18,136,0
774,27,124,18,158,0
775,28,125,18,170,0
776,29,126,18,171,0
777,30,127,18,182,0
778,32,129,18,191,0
779,33,130,18,194,0
780,34,131,18,198,0
781,35,133,18,209,0
782,37,135,18,27,0
783,37,145,18,32,0
784,0,97,19,5,0
785,2,99,19,15,0
786,4,101,19,30,0
787,54,154,19,29,0
788,73,166,19,28,0
789,5,102,19,25,0
790,6,103,19,38,0
791,7,104,19,36,0
792,39,137,19,33,0
793,9,106,19,43,0
794,10,107,19,46,0
795,11,108,19,48,0
796,48,148,19,59,0
797,40,138,19,65,0
798,12,109,19,68,0
799,14,111,19,71,0
800,15,112,19,70,0
801,16,113,19,83,0
802,17,114,19,89,0
803,55,155,19,90,0
804,18,115,19,88,0
805,19,116,19,99,0
806,42,140,19,106,0
807,20,117,19,119,0
808,21,118,19,125,0
809,61,159,19,128,0
810,22,119,19,131,0
811,23,120,19,124,0
812,24,121,19,140,0
813,25,122,19,138,0
814,27,124,19,158,0
815,44,142,19,159,0
816,28,125,19,170,0
817,29,126,19,171,0
818,30,127,19,182,0
819,45,143,19,180,0
820,31,128,19,178,0
821,32,129,19,191,0
822,33,130,19,194,0
823,52,152,19,192,0
824,34,131,19,198,0
825,35,133,19,209,0
826,46,144,19,206,0
827,37,135,19,27,0
828,37,145,19,32,0
829,0,97,20,5,0
830,38,136,20,8,0
831,2,99,20,15,0
832,3,100,20,24,0
833,5,102,20,25,0
834,6,103,20,38,0
835,7,147,20,31,0
836,7,104,20,36,0
837,39,137,20,33,0
838,8,105,20,39,0
839,9,106,20,43,0
840,10,107,20,46,0
841,11,108,20,48,0
842,48,148,20,59,0
843,40,138,20,65,0
844,12,109,20,68,0
845,13,110,20,69,0
846,14,111,20,71,0
847,15,112,20,70,0
848,16,113,20,83,0
849,17,114,20,89,0
850,64,161,20,96,0
851,18,115,20,88,0
852,41,139,20,101,0
853,19,116,20,99,0
854,49,149,20,102,0
855,42,140,20,106,0
856,20,117,20,119,0
857,21,118,20,125,0
858,22,119,20,131,0
859,23,120,20,124,0
860,43,141,20,129,0
861,24,121,20,140,0
862,25,122,20,138,0
863,26,123,20,136,0
864,28,125,20,170,0
865,29,126,20,171,0
866,32,129,20,191,0
867,33,130,20,194,0
868,34,131,20,198,0
869,35,133,20,209,0
870,37,135,20,27,0
871,37,145,20,32,0
872,0,97,21,5,0
873,38,136,21,8,0
874,3,100,21,24,0
875,4,101,21,30,0
876,54,154,21,29,0
877,5,102,21,25,0
878,6,103,21,38,0
879,7,104,21,36,0
880,9,106,21,43,0
881,10,107,21,46,0
882,11,108,21,48,0
883,48,148,21,59,0
884,40,138,21,65,0
885,12,109,21,68,0
886,14,111,21,71,0
887,15,112,21,70,0
888,16,113,21,83,0
889,17,114,21,89,0
890,18,115,21,88,0
891,19,116,21,99,0
892,20,117,21,119,0
893,21,118,21,125,0
894,22,119,21,131,0
895,23,120,21,124,0
896,24,121,21,140,0
897,25,122,21,138,0
898,27,124,21,158,0
899,44,142,21,159,0
900,28,125,21,170,0
901,29,126,21,171,0
902,31,128,21,178,0
903,32,129,21,191,0
904,33,130,21,194,0
905,52,152,21,192,0
906,35,133,21,209,0
907,37,135,21,27,0
908,37,145,21,32,0
909,0,97,22,5,0
910,53,153,22,6,0
911,54,154,22,29,0
912,5,102,22,25,0
913,6,103,22,38,0
914,7,104,22,36,0
915,8,105,22,39,0
916,9,106,22,43,0
917,10,107,22,46,0
918,11,108,22,48,0
919,48,148,22,59,0
920,62,160,22,57,0
921,40,138,22,65,0
922,12,109,22,68,0
923,14,111,22,71,0
924,15,112,22,70,0
925,16,113,22,83,0
926,17,114,22,89,0
927,18,115,22,88,0
928,19,116,22,99,0
929,49,149,22,102,0
930,20,117,22,119,0
931,21,118,22,125,0
932,22,119,22,131,0
933,43,141,22,129,0
934,24,121,22,140,0
935,25,122,22,138,0
936,26,123,22,136,0
937,27,124,22,158,0
938,51,151,22,154,0
939,28,125,22,170,0
940,29,126,22,171,0
941,30,127,22,182,0
942,32,129,22,191,0
943,33,130,22,194,0
944,52,152,22,192,0
945,34,131,22,198,0
946,35,133,22,209,0
947,37,135,22,27,0
948,0,97,23,5,0
949,2,99,23,15,0
950,47,146,23,21,0
951,4,101,23,30,0
